pmid,titre,abstract,annee,journal,requete,abstract_length,abstract_words
40160383,Exploring prevalence and factors associated with depression and anxiety symptoms among Bangladeshi graduates: a GIS-based cross-sectional study.,"Depression and anxiety are common mental health issues globally, yet limited research has focused on job seekers in Bangladesh. This study examines the prevalence and associated factors of depression and anxiety symptoms among Bangladeshi graduates seeking employment. A cross-sectional study was conducted among graduates from two public universities in Bangladesh, using face-to-face interviews and a semi-structured questionnaire. Data were collected between March and April 2024 through convenience sampling. Chi-square tests and logistic regression were used for analysis with SPSS software. Among the participants, 46.8 experienced depressive symptoms and 67.8 had anxiety symptoms, with 42.3 experiencing both. Factors associated with a reduced risk of depressive symptoms included being a first child (OR 0.48, 95 CI: 0.25-0.93, p 0.031) and exam satisfaction (OR 0.22, 95 CI: 0.12-0.39, p p 0.007), first-born status (OR 0.45, 95 CI: 0.22-0.92, p 0.030), financial contribution to family (OR 0.40, 95 CI: 0.19-0.81, p 0.011), over 12 months of preparation (OR 0.37, 95 CI: 0.15-0.92, p 0.034) and exam satisfaction (OR 0.40, 95 CI: 0.22-0.71, p 0.002). Intentionally unemployed participants had a higher risk of anxiety symptoms (OR 1.70, 95 CI: 1.00-2.89, p 0.046). This study reveals high rates of depressive and anxiety symptoms among job-seeking graduates in Bangladesh. Socio-demographic and job-related factors appear to significantly impact mental health, underscoring the need for a holistic approach to address these challenges. Targeted mental health interventions and increased public awareness are essential to support vulnerable groups in navigating the highly competitive job market.",2025,"Global mental health (Cambridge, England)",graduates_unemployment_mental_health,1706,244
40077974,Employment Trajectories of Recently Certified Peer Support Specialists: A Longitudinal Qualitative Analysis.,"Recent work has highlighted the challenges and benefits that certified peer specialists (CPSs) experience in the workforce. While their work can lead to personal fulfillment and financial independence for CPSs, and improved mental health and substance use recovery outcomes for their clients, little is known about CPS employment trajectories or the circumstances that impact their early-career workforce involvement over time. This study used within- and across-case analyses of longitudinal data from qualitative interviews with 13 CPS that participated in a multistate, 3 year observational prospective cohort study of CPS graduates to explore employment changes and circumstances that led to these transitions. Qualitative results were organized according to whether cases were employed as a CPS at follow-up (N 5) or not employed as CPS at follow-up (N 8). Participants employed as a CPS at follow-up held various positions following certification, and they shared a sense of optimism about their future work. At the second interview, most remained in the same positions they held at baseline and described personal fulfillment and a supportive work environment as reasons for remaining. Participants who were not employed as a CPS at follow-up were also not employed as a CPS at their baseline interview but aspired to pursue future CPS work. At their second interview, many remained unemployed due to poor health and disability, or described past traumatic experiences, stress, and burnout related to being a CPS as reasons for leaving the CPS work force. All participants were challenged to find work as a CPS at various moments in their trajectories. Results indicate that securing employment as a CPS was challenging for participants. Findings are discussed with implications for supporting CPS job seeking, well-being, and workforce retention.",2025,Substance use & addiction journal,graduates_unemployment_mental_health,1854,281
39972449,"Exploring the unemployment crisis among speech therapists and audiologists in South Africa: perspectives on institutional roles, professional bodies, and the path to job creation.","Despite the critical need for speech therapists and audiologists to meet various healthcare demands, including those outlined in the National Health Insurance Bill, unemployment among these professionals in South Africa remains a growing concern. Previous studies indicate that 16 of newly graduated speech therapists and audiologists are unemployed within the first year after completing community service, with this figure increasing to 19 by the second year. However, little is known about the lived experiences of unemployment among these professionals. To explore the lived experiences of unemployed speech therapists and audiologists after community service, including their perceptions of job creation efforts by the government, universities, and professional bodies and their reflections on their chosen field of study and considerations of alternative career paths. A non-probability purposive sampling strategy was employed to recruit participants who met the inclusion criteria. Participants consisted of speech therapists and audiologists who were either currently unemployed or had experienced unemployment within the last five years. Semi-structured interviews were conducted online to collect qualitative data. Data were analysed qualitatively, following Braun and Clarke s thematic analysis. Three key subthemes emerged from the data on the lived experiences of participants: (1) social and lifestyle changes, (2) mental health concerns, and (3) financial strain. Participants also shared their perspectives on job creation, emphasizing the need for universities to better prepare graduates for the private sector and for professional boards and heads of departments to advocate more effectively for the profession. Despite their challenges, participants expressed a strong commitment to their profession, with many seeking alternative roles within the field and expressing no regrets about their career choices. The findings reveal the multifaceted challenges faced by unemployed speech therapists and audiologists in South Africa, spanning systemic, social, financial, and psychological domains. Participants experiences highlight the importance of coordinated efforts by the government, universities, professional bodies, and the private sector to address unemployment and create sustainable career pathways. This study highlights the urgent need for systemic interventions to support unemployed speech therapists and audiologists. Efforts must focus on enhancing graduate employability, promoting advocacy for job creation, and developing alternative opportunities within the profession. Addressing these issues is essential for aligning the workforce with the nation s healthcare needs and ensuring that speech therapists and audiologists can contribute effectively to the healthcare system.",2025,BMC health services research,graduates_unemployment_mental_health,2812,380
39935739,Mediating role of perceived social support in the relationship between unemployment and mental distress among healthcare graduates during the COVID-19 era.,"This study investigates the mediating role of perceived social support in the relationship between unemployment and mental distress among young healthcare graduates in Bolivia during the COVID-19 pandemic. A cross-sectional analysis within a cohort study was conducted using data from 109 healthcare graduates from Bolivia collected through an online survey in 2022. The survey measured employment status, mental distress with the 12-item General Health Questionnaire (GHQ-12), and perceived social support using the Multidimensional Scale of Perceived Social Support (MSPSS). Mediation analysis was performed in R to examine the mediating effect of perceived social support on the relationship between unemployment and mental distress. More than two-thirds of participants reported mental distress. Consistent with the main effect model, employment was directly associated with lower levels of mental distress, and perceived social support was positively related to better mental health. However, perceived social support did not statistically significant mediate the impact of unemployment on mental distress, with only 2.1 of the effect being mediated through perceived social support. Despite the beneficial effect of perceived social support on mental health, it did not significantly mediate the relationship between unemployment and mental distress among Bolivian healthcare graduates during COVID-19. The findings highlight the need for targeted mental health support that go beyond social support for unemployed healthcare graduates during crises.",2024,Frontiers in public health,graduates_unemployment_mental_health,1556,215
38784586,Analyzing the impact of unemployment on mental health among Chinese university graduates: a study of emotional and linguistic patterns on Weibo.,"This study explores the intricate relationship between unemployment rates and emotional responses among Chinese university graduates, analyzing how these factors correlate with specific linguistic features on the popular social media platform Sina Weibo. The goal is to uncover patterns that elucidate the psychological and emotional dimensions of unemployment challenges among this demographic. The analysis utilized a dataset of 30,540 Sina Weibo posts containing specific keywords related to unemployment and anxiety, collected from January 2019 to June 2023. The posts were pre-processed to eliminate noise and refine the data quality. Linear regression and textual analyses were employed to identify correlations between unemployment rates for individuals aged 16-24 and the linguistic characteristics of the posts. The study found significant fluctuations in urban youth unemployment rates, peaking at 21.3 in June 2023. A corresponding increase in anxiety-related expressions was noted in the social media posts, with peak expressions aligning with high unemployment rates. Linguistic analysis revealed that the category of Affect showed a strong positive correlation with unemployment rates, indicating increased emotional expression alongside rising unemployment. Other categories such as Negative emotion and Sadness also showed significant correlations, highlighting a robust relationship between economic challenges and emotional distress. The findings underscore the profound impact of unemployment on the emotional well-being of university students, suggesting that economic hardships are closely linked to psychological stress and heightened negative emotions. This study contributes to a holistic understanding of the socio-economic challenges faced by young adults, advocating for comprehensive support systems that address both the economic and psychological facets of unemployment.",2024,Frontiers in public health,graduates_unemployment_mental_health,1900,254
38702409,"Psychological implications of unemployment among higher educated migrant youth in Kolkata City, India.","Mental health issues are intricately linked to socioeconomic background, employment and migration status. However, there remains a gap in understanding the mental health challenges faced by graduate youth in India, particularly in Kolkata City. This study aims to assess the prevalence and associated risk factors of depression, anxiety, and stress among higher-educated migrant youth. A survey was conducted on four hundred migrant graduate youths aged 21-35 residing in Kolkata. Measures included socio-demographics and the Depression Anxiety Stress Scale (DASS-21). Chi-square tests and binary logistic regression were employed to identify factors associated with mental health issues. The overall prevalence rates were 54.4 for depression, 61.8 for anxiety, and 47.9 for stress. Unemployed youths exhibited significantly more symptoms of depression and anxiety than their employed counter parts. The logistic regression model showed that unemployed youth, female sex, never married, and second- and third-time migrant youths were risk factors for high scores on the DASS-21. This study showed that mental health issues were alarming in the higher educated migrant youth. The study suggests the implementation of skill-based, job-oriented, and professional courses at the graduation level to prevent graduates from being rendered unproductive and jobless. Beside these, regular psychological support should be provided to the higher educated youth by the local governments.",2024,Scientific reports,graduates_unemployment_mental_health,1476,208
38389062,Understanding complex causes of suicidal behaviour among graduates in Bangladesh.,"This study utilizes both fieldwork and desk-based discourse analysis of newspaper reports to investigate the concerning number of suicides among graduates in Bangladesh. According to some reports, a majority of suicide cases involve young adults who are either currently studying at university or have recently completed their degree (between the ages of 20 and 32). This research contends that patriarchal social expectations in Bangladesh place significant pressure on young adults to secure well-paying jobs to support their families and uphold their family s status, which can have a negative impact on their mental health. Furthermore, this article identifies additional risk factors that contribute to the high suicide rates among graduates in Bangladesh. These factors include unemployment, poverty, relationship problems, drug addiction, political marginalization, and the stigma of shame, all of which can cause low self-esteem and suicidal thoughts. Moreover, the research suggests that families in Bangladesh have not been providing adequate support to their young members when facing challenges in life. On the contrary, families have added to the pressure on young adults, which can be attributed to joiner s theory of the effect of industrialization on family norms and values.",2024,BMC public health,graduates_unemployment_mental_health,1291,191
37801934,"The relationship between unemployment anxiety, job satisfaction and migration attitude among the next generation of Turkish nurses: A cross-sectional study.","The global nursing shortage is complex and multifaceted. Despite the policy of increasing the number of nurses, concerns about the sustainability of the nursing workforce in Turkey continue. To evaluate the relationship between unemployment anxiety, job satisfaction, and migration attitudes among Turkish nursing candidates. A cross-sectional study was conducted with 1100 nursing candidates between April and June 2022. The data gathered from the Personal Form, Job Satisfaction, and Brain Drain Attitudes Scale were analyzed using logistic regression and decision tree analysis. Of the participants, 67.1 were female, and the mean age was 22.6 1.7 years. Being male (OR 1.317, 95 Cl 0.994-1.743) having a low income (OR 1.754, 95 Cl 1.334-2.306), feeling insecure about the future (OR 2.340, 95 Cl 1.312-4.175), expecting a lower wage than desired (OR 2.015, 95 Cl 1.132-3.586), and employment precariousness (OR 1.786, 95 Cl 1.355-2.353) increase the possibility of experiencing high unemployment anxiety. On the other hand, family support for living abroad (OR 0.579, 95 CI 0.408-0.821) and job satisfaction (OR 0.799, 95 CI 0.692-0.921) decrease unemployment anxiety (p 0.05). According to the results of the decision tree analysis, the host country s pull factors are the best predictors of the nursing candidates intention to work abroad as nurses (p 0.05). The increasing prevalence of unemployment anxiety and migration tendencies among nursing candidates requires the evaluation of policies aimed at increasing the number of nursing graduates in Turkey.",2023,International journal of nursing studies,graduates_unemployment_mental_health,1564,233
37359658,The impact of employment stress on college students: psychological well-being during COVID-19 pandemic in China.,"Employment among final year college students in China has encountered unprecedented difficulties during the Coronavirus disease 2019 (COVID-19) pandemic, the high unemployment rate had led college graduates faced inadvertently mental health issues such as anxiety and depression. This study aims to investigate the impact of employment stress on college students psychological well-being during the COVID-19 pandemic in China. An online survey consisting of demographic items (i.e., age, gender, subject major, type of university, and perceived severity of the current employment situation), Employment Stress scale, Employment Anxiety Scale, and Patient Health Questionnaire was employed for data collection. A total of 2,627 final year college students were recruited, with participants displayed below moderate levels of employment stress and anxiety. Approximately 13.2 of participants were depressed and 53.3 considered the current employment situation as severe. Female students were stressed by individual factors and anxious, whilst male students were more depressed. Arts students were less depressed and students from comprehensive universities were more depressed and anxious compared to other types of universities. Students who perceived the employment situation as very severe displayed the lowest level of employment stress and anxiety. Gender, university type, family stress, college stress, and individual stress are predictors of psychological well-being among college students. The family environment, female identity, and stress from university play a crucial role in college students psychological well-being. The government should pay more attention to the psychological well-being of graduate students and develop feasible measures to help them secure a job during this unprecedented time.",2023,"Current psychology (New Brunswick, N.J.)",graduates_unemployment_mental_health,1812,249
37197925,Impact of mental disorders during education on work participation: a register-based longitudinal study on young adults with 10 years follow-up.,"Mental disorders are a leading cause of disability and a major threat to work participation in young adults. This register-based longitudinal study aims to investigate the influence of mental disorders on entering and exiting paid employment among young graduates and to explore differences across socioeconomic groups. Register information on sociodemographics (age, sex, migration background) and employment status of 2 346 393 young adults who graduated from secondary vocational (n 1 004 395) and higher vocational education or university (n 1 341 998) in the period 2010-2019 was provided by Statistics Netherlands. This information was enriched with register information on the prescription of nervous system medication for mental disorders in the year before graduation as a proxy for having a mental disorder. Cox proportional hazards regression models were used to estimate the influence of mental disorders on (A) entering paid employment among all graduates and (B) exiting from paid employment among graduates who had entered paid employment. Individuals with mental disorders were less likely to enter (HR 0.69-0.70) and more likely to exit paid employment (HR 1.41-1.42). Individuals using antipsychotics were the least likely to enter (HR 0.44) and the most likely to exit paid employment (HR 1.82-1.91), followed by those using hypnotics and sedatives. The association between mental disorders and work participation was found across socioeconomic subgroups (ie, educational level, sex and migration background). Young adults with mental disorders are less likely to enter and maintain paid employment. These results ask for prevention of mental disorders and for a more inclusive labour market.",2023,Journal of epidemiology and community health,graduates_unemployment_mental_health,1711,253
