question,context_relevance,faithfulness,answer_relevancy
What are the main mental health consequences of unemployment in young university graduates?,0.9,0.7,1.0
Does job insecurity affect psychological wellbeing of recent graduates?,0.8,0.7,0.9
What is the relationship between precarious employment and mental health in young adults?,1.0,0.7,0.9
How does graduating during an economic recession affect mental health?,1.0,0.7,0.9
Is there a causal relationship between youth unemployment and depression?,0.8,0.7,0.8
What is the scarring effect of unemployment on mental health across the life course?,0.9,0.7,0.9
How does NEET status affect mental health of young people?,0.7,0.7,0.9
What interventions are effective for improving mental health of unemployed graduates?,0.8,0.7,0.8
Does social support moderate the relationship between unemployment and mental health?,0.8,0.3,0.8
What are the gender differences in mental health effects of post-graduation unemployment?,0.7,0.7,0.8
How does underemployment affect mental health of university graduates?,0.7,0.7,0.7
What is the impact of COVID-19 pandemic on mental health of graduating students?,0.9,0.7,0.9
Are there long-term employment trajectory effects on mental health?,0.8,0.7,0.9
What psychological mechanisms link unemployment to depression in graduates?,0.8,0.7,0.9
Does economic recession at graduation time have lasting mental health effects?,1.0,0.7,0.9
What is the prevalence of depression and anxiety among job-seeking graduates?,0.8,0.7,0.8
